start;end;node;edge
1;2;10;10
2;3;0;0
3;4;0;0
4;5;180;246
5;6;518;1489
6;7;587;3522
7;8;595;4408
8;9;594;3904
9;10;587;3397
10;11;584;3346
11;12;585;3321
12;13;588;3363
13;14;589;3348
14;15;579;3339
15;16;586;3383
16;17;593;4088
17;18;598;4258
18;19;592;3813
19;20;588;3335
20;21;585;3063
21;22;570;2673
22;23;503;2079
23;24;393;1038
24;25;153;239
