start;end;node;edge
1;2;62;62
2;3;95;107
3;4;148;426
4;5;3109;8886
5;6;21169;113915
6;7;41256;318548
7;8;53250;508271
8;9;43493;421432
9;10;40187;356352
10;11;37889;321118
11;12;38347;317616
12;13;42969;345958
13;14;42965;345883
14;15;39281;332747
15;16;41666;375781
16;17;50985;487887
17;18;50257;467735
18;19;44610;394767
19;20;38142;293666
20;21;29501;197588
21;22;21382;155751
22;23;15530;129732
23;24;9612;101260
24;25;4644;50317
