transport;localisation;type;mean;stderr
train_bus;Mons;static;297.7362268765767;5.64132117288718
train_bus;Mons;dynamic_edge;0.22139039039611816;0.07899060825132778
train_bus;Mons;dynamic_vertex_new;0.6705568504333496;0.051331275118164765
train_bus;Mons;dynamic_vertex_old;0.7770746326446534;0.05207343658701304
train_bus;Nivelles;static;928.7844564119974;39.252781874583526
train_bus;Nivelles;dynamic_edge;0.7132465553283691;0.14827264197627207
train_bus;Nivelles;dynamic_vertex_new;1.2893968677520753;0.0658143393817198
train_bus;Nivelles;dynamic_vertex_old;1.373562641143799;0.049581451396082034
train_bus;Charleroi;static;4186.441470623016;468.3703114577675
train_bus;Charleroi;dynamic_edge;1.5563111782073975;0.5463294219172143
train_bus;Charleroi;dynamic_vertex_new;7.850730781555176;0.6751413021912064
train_bus;Charleroi;dynamic_vertex_old;4.762829294204712;0.30542532983868953
